job_role,skills
Data Scientist,Python SQL Machine Learning Statistics Data Analysis Pandas
DevOps Engineer,AWS Docker Kubernetes CI/CD Linux Automation Cloud
Backend Developer,Java Python SQL APIs Databases Git Spring Boot
Frontend Developer,JavaScript HTML CSS React UI Design Web Design
Cloud Architect,AWS Azure Cloud Computing Networking Security Infrastructure
Mobile Developer,Swift Kotlin Android iOS Mobile UI App Development
Data Engineer,Python SQL ETL Spark Data Pipelines Big Data Airflow
Cybersecurity Analyst,Security Networking Penetration Testing Firewalls Linux
UI/UX Designer,Figma UI Design User Research Prototyping Wireframing
Machine Learning Engineer,Python Machine Learning TensorFlow Deep Learning Statistics Neural Networks
